ogc_fid,page_no,track_id,start_lon,start_lat,end_lon,end_lat
2227,735,0,11.417027,48.075054,11.400376,48.2466909
2228,736,0,11.4003034,48.2466525,11.3872921,48.1786808
2229,737,0,11.3872007,48.178605,11.3856952,48.0715136
2230,737,1,11.474116,48.06182,11.36085,48.114098
2231,738,0,11.3856648,48.0714752,11.4911949,48.0846323
2232,739,0,11.491804,48.0845227,11.5405433,48.1598383
2233,73,0,11.4521356,48.0782873,11.5140225,48.1865378
2234,73,1,11.6122537,48.062271,11.6046322,48.127223
2235,73,2,11.5296641,48.1565191,11.5491413,48.2468823
2236,740,0,11.5405433,48.1598383,11.538495,48.1589916
2237,741,0,11.538495,48.1589916,11.5404783,48.1596183
2238,742,0,11.5404783,48.1596183,11.5846016,48.1385966
2239,743,0,11.5846016,48.1385966,11.657679,48.149904
2240,743,1,11.360959,48.225934,11.595179,48.06175
2241,744,0,11.657881,48.149743,11.5585953,48.1490002
2242,745,0,11.5586301,48.1488848,11.631756,48.121324
2243,746,0,11.631845,48.121271,11.6398216,48.2423082
2244,747,0,11.6397144,48.2420965,11.490515,48.1520983
2245,747,1,11.706603,48.06166,11.360886,48.226215
2246,748,0,11.49048,48.1521133,11.5756039,48.1333262
2247,749,0,11.5756231,48.1333258,11.5314733,48.1121616
2248,74,0,11.5140225,48.1865378,11.5120394,48.1851289
2249,750,0,11.53148,48.1121516,11.6160893,48.0903125
2250,751,0,11.6160464,48.0904734,11.535838,48.240784
2251,752,0,11.535602,48.241138,11.5881976,48.1172763
2252,753,0,11.588198,48.1172767,11.4083104,48.1755709
2253,754,0,11.4083424,48.1754727,11.542853,48.12092
2254,755,0,11.542852,48.120922,11.543163,48.120768
2255,756,0,11.543163,48.120768,11.6879461,48.1206474
2256,757,0,11.687485,48.1207491,11.51943,48.12225
2257,758,0,11.519455,48.122305,11.5338582,48.1527442
2258,759,0,11.5339803,48.1526985,11.549592,48.146163
2259,75,0,11.5120394,48.1851289,11.5070095,48.1639558
2260,760,0,11.549458,48.146172,11.5977922,48.1322976
2261,761,0,11.5978617,48.132226,11.5343566,48.141173
2262,762,0,11.5343459,48.1411157,11.649978,48.106589
2263,763,0,11.649992,48.106704,11.609136,48.121266
2264,763,1,11.360873,48.113917,11.515995,48.123908
2265,764,0,11.51624,48.123868,11.595199,48.061641
2266,764,1,11.706617,48.061647,11.360896,48.226254
2267,764,2,11.4710634,48.148343,11.658752,48.082881
2268,765,0,11.658757,48.082876,11.658623,48.082834
2269,766,0,11.658633,48.082833,11.65113,48.093564
2270,767,0,11.651128,48.093565,11.60176,48.159633
2271,768,0,11.60176,48.159633,11.603665,48.164568
2272,769,0,11.603722,48.164578,11.6905394,48.2178529
2273,76,0,11.5070095,48.1639558,11.4121179,48.0973402
2274,770,0,11.6904944,48.217997,11.4476299,48.0862925
2275,771,0,11.4474541,48.0863383,11.5192866,48.1300466
2276,772,0,11.51929,48.1300616,11.4768696,48.2068256
2277,773,0,11.4769048,48.2068224,11.5135433,48.13285
2278,774,0,11.51356,48.13285,11.395139,48.142321
2279,775,0,11.394984,48.142658,11.6302066,48.1568566
2280,776,0,11.6301966,48.1568533,11.5615787,48.2199935
2281,777,0,11.5616016,48.2199935,11.6054816,48.156845
2282,778,0,11.6052966,48.156925,11.58508,48.184628
2283,779,0,11.585072,48.184632,11.458474,48.122014
2284,77,0,11.412104,48.0973288,11.4991685,48.0616117
2285,77,1,11.5586081,48.2456152,11.566846,48.2426819
2286,780,0,11.458484,48.122041,11.6056983,48.12923
2287,781,0,11.6056883,48.1292233,11.7126981,48.1386563
2288,782,0,11.7126981,48.1386563,11.5744772,48.1280555
2289,783,0,11.5744962,48.1280517,11.52919,48.21728
2290,784,0,11.53032,48.21854,11.50891,48.1817
2291,785,0,11.50886,48.18157,11.527589,48.224203
2292,786,0,11.522782,48.223101,11.5139989,48.1461639
2293,787,0,11.5140008,48.1461448,11.6826939,48.1061911
2294,788,0,11.6827154,48.1061697,11.7221088,48.1719932
2295,789,0,11.7220506,48.1719818,11.5321149,48.110305
2296,78,0,11.5668823,48.2426553,11.5584309,48.2457626
2297,78,1,11.5474825,48.1791909,11.5584318,48.170939
2298,790,0,11.5323366,48.1103316,11.5662443,48.1344331
2299,791,0,11.5662378,48.1343523,11.395453,48.222226
2300,792,0,11.395573,48.222224,11.6314483,48.180615
2301,792,1,11.360975,48.225868,11.706522,48.061856
2302,793,0,11.63117,48.1795,11.597178,48.166923
2303,794,0,11.59625,48.16563,11.566707,48.106432
